FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
3301.0,2253101,1039367,1213734,742124,348167,393957,1510977,691200,819777,62000,71000,55000,60000,67000,50000,70000,82000,60000,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302.0,112939,35518,77421,43898,11933,31965,69041,23585,45456,50000,59092,48000,49000,58115,45000,55000,60000,50221,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401.0,943699,260260,683439,376447,101946,274501,567252,158314,408938,59000,75513,52000,53000,70000,48000,64000,89000,60000,LIBERAL ARTS,Humanities & Liberal Arts
3402.0,93266,35965,57301,35179,13377,21802,58087,22588,35499,57291,74717,47798,50000,67061,44730,69822,102887,60000,HUMANITIES,Humanities & Liberal Arts
3501.0,50558,33691,16867,5967,4379,1588,44591,29312,15279,55000,66578,36269,54766,64576,35871,65196,82709,38409,LIBRARY SCIENCE,Education
3600.0,2485152,1397523,1087629,1194016,724702,469314,1291136,672821,618315,77000,100000,52000,67000,90000,50000,90000,120000,60000,BIOLOGY,Biology & Life Science
3601.0,278989,183266,95723,146279,97525,48754,132710,85741,46969,80000,100000,55000,75000,95369,50000,90000,101922,61000,BIOCHEMICAL SCIENCES,Biology & Life Science
3602.0,36130,20789,15341,18344,10189,8155,17786,10600,7186,70000,82000,50000,55907,64733,50000,80679,103000,77030,BOTANY,Biology & Life Science
3603.0,103972,68151,35821,49659,33995,15664,54313,34156,20157,85000,100000,60000,79909,99307,48000,90000,100744,70000,MOLECULAR BIOLOGY,Biology & Life Science
3604.0,97839,33485,64354,44357,15831,28526,53482,17654,35828,51000,75350,45000,49000,70000,40411,60000,84563,48906,ECOLOGY,Biology & Life Science
3605.0,26199,16390,9809,12276,7805,4471,13923,8585,5338,84248,92584,60839,75578,79006,65040,90000,98145,59985,GENETICS,Biology & Life Science
3606.0,177054,101329,75725,78163,49304,28859,98891,52025,46866,82000,100000,69000,78000,90000,70000,90000,115000,65395,MICROBIOLOGY,Biology & Life Science
3607.0,17290,10758,6532,8214,5140,3074,9076,5618,3458,118042,120000,64705,120000,120000,62392,105790,112627,86317,PHARMACOLOGY,Biology & Life Science
3608.0,147830,80684,67146,67110,39831,27279,80720,40853,39867,70000,85000,50000,65000,75892,49297,80000,94625,55000,PHYSIOLOGY,Biology & Life Science
3609.0,175677,110465,65212,98706,68954,29752,76971,41511,35460,85000,110000,50000,60000,84541,40000,105000,140110,60417,ZOOLOGY,Biology & Life Science
3611.0,62872,31877,30995,25120,12640,12480,37752,19237,18515,62558,75880,42155,56762,70000,40000,73369,90355,54838,NEUROSCIENCE,Biology & Life Science
3699.0,95249,49083,46166,45352,22919,22433,49897,26164,23733,60000,67869,55214,56000,62008,50000,68000,75000,65000,MISCELLANEOUS BIOLOGY,Biology & Life Science
3700.0,1027676,510333,517343,616109,317175,298934,411567,193158,218409,80000,95000,70000,70000,80000,60000,90000,100000,75000,MATHEMATICS,Computers & Mathematics
3701.0,50347,23242,27105,31516,15109,16407,18831,8133,10698,100000,125273,75000,80000,97708,63422,120000,137580,90000,APPLIED MATHEMATICS,Computers & Mathematics
3702.0,73694,37342,36352,42758,23498,19260,30936,13844,17092,80420,97000,70000,80000,96912,68000,83000,98000,70000,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
3801.0,10989,6661,4328,10514,6517,3997,475,144,331,87281,103854,38412,9500,9500,-1,87764,105720,38412,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
4000.0,113221,33426,79795,37976,11094,26882,75245,22332,52913,52000,63000,49000,50000,58000,45000,65000,80827,60000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
4001.0,135467,59232,76235,49969,19948,30021,85498,39284,46214,60000,74000,51000,58000,70000,50000,65000,84574,57000,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4002.0,156412,63643,92769,18590,8081,10509,137822,55562,82260,60000,69000,50000,59000,68693,52000,60000,86311,45000,NUTRITION SCIENCES,Health
4005.0,21481,10481,11000,14662,7732,6930,6819,2749,4070,100000,106521,95637,100000,132160,95472,100000,103932,95280,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
4006.0,22336,10563,11773,10833,4024,6809,11503,6539,4964,85938,93768,72240,65267,74388,49790,109597,139296,97448,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
4007.0,127488,47467,80021,39713,14308,25405,87775,33159,54616,57315,70000,50000,53000,65000,47755,62181,82000,55000,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
4101.0,800790,236202,564588,416439,111430,305009,384351,124772,259579,53000,67000,48000,50000,63000,43515,55000,70000,50000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
4801.0,507255,284252,223003,348929,201181,147748,158326,83071,75255,66000,74000,55499,63000,70000,55000,68000,75471,56752,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901.0,485772,208847,276925,342985,159183,183802,142787,49664,93123,48000,54000,45000,42000,50000,37245,50000,55000,45000,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5000.0,16872,6774,10098,13913,5978,7935,2959,796,2163,75000,85000,70868,47648,69380,34625,80000,85000,73200,PHYSICAL SCIENCES,Physical Sciences
5001.0,14794,8915,5879,10904,6408,4496,3890,2507,1383,83000,85000,76775,63878,68030,38197,83000,92552,79877,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002.0,32253,16074,16179,23174,10961,12213,9079,5113,3966,74883,86321,65000,65658,75373,60000,80000,91212,71377,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003.0,863929,529594,334335,538114,351714,186400,325815,177880,147935,90000,110000,60000,74000,90000,55497,100000,120000,65000,CHEMISTRY,Physical Sciences
5004.0,239135,109722,129413,170124,77542,92582,69011,32180,36831,70000,90000,61000,60000,70000,50000,75000,100000,65000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,23379,13236,10143,17363,9423,7940,6016,3813,2203,75171,88277,60000,63375,56538,64343,80000,99726,58992,GEOSCIENCES,Physical Sciences
5006.0,24679,8704,15975,16617,6037,10580,8062,2667,5395,59413,85000,52173,52000,61744,51428,67772,88221,59956,OCEANOGRAPHY,Physical Sciences
5007.0,409685,273371,136314,330708,222822,107886,78977,50549,28428,100000,115000,72000,82000,95000,60000,103000,120000,75000,PHYSICS,Physical Sciences
5008.0,37038,21770,15268,26058,15788,10270,10980,5982,4998,94000,115000,77010,91030,100000,68928,97033,115000,80000,MATERIALS SCIENCE,Engineering
5098.0,665057,229451,435606,350913,129116,221797,314144,100335,213809,70000,94000,60000,60325,80778,55386,75000,100663,65000,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,18380,2426,15954,7310,1218,6092,11070,1208,9862,63347,70333,63000,55063,55654,55225,71275,75903,70617,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,3453154,1597109,1856045,1004359,474505,529854,2448795,1122604,1326191,58000,70000,48000,53000,65000,45000,69000,85000,55000,PSYCHOLOGY,Psychology & Social Work
5201.0,36976,27693,9283,8884,7070,1814,28092,20623,7469,55000,60000,46937,54042,57000,47306,72260,89288,41481,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,30404,22017,8387,10147,8263,1884,20257,13754,6503,60000,65000,48623,59579,64091,42183,65000,69000,59670,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,92414,70091,22323,23394,16906,6488,69020,53185,15835,50000,50000,45806,50000,50000,52885,50000,51552,45000,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,36336,15781,20555,14538,6241,8297,21798,9540,12258,70000,93131,57578,75000,89404,60000,68000,98558,50000,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,17842,6572,11270,4950,1524,3426,12892,5048,7844,57361,53185,60283,58323,53703,60044,56048,51616,80000,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,79436,39116,40320,21267,11437,9830,58169,27679,30490,54198,67000,45000,50000,55000,43248,82559,93491,50255,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,1379850,303049,1076801,812405,160166,652239,567445,142883,424562,56000,70000,53000,50000,59000,44370,63000,80000,60000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,118289,55983,62306,67814,29529,38285,50475,26454,24021,70000,75000,60917,62144,68428,50000,75755,83613,70000,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,51217,25940,25277,23732,11582,12150,27485,14358,13127,80000,99400,60000,75000,97643,56651,88000,101589,64390,PUBLIC POLICY,Law & Public Policy
5403.0,147514,40746,106768,26888,8413,18475,120626,32333,88293,45000,55000,42000,44568,52000,41000,61000,65000,53000,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,772202,370394,401808,109422,57471,51951,662780,312923,349857,50000,55000,42000,49986,55000,41456,55000,60000,48000,SOCIAL WORK,Psychology & Social Work
5500.0,227961,86402,141559,98859,39239,59620,129102,47163,81939,60000,72000,52000,59000,68000,50000,60000,85000,55000,GENERAL SOCIAL SCIENCES,Social Science
5501.0,1512878,636926,875952,1032807,432932,599875,480071,203994,276077,90000,110000,75000,80000,98000,65000,94000,120000,80000,ECONOMICS,Social Science
5502.0,317078,144430,172648,109251,49603,59648,207827,94827,113000,55000,70000,48000,52000,66000,44000,65000,85000,55000,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,144424,37511,106913,78778,18579,60199,65646,18932,46714,55000,63000,50000,47092,59186,43000,60000,75000,60000,CRIMINOLOGY,Social Science
5504.0,215040,74103,140937,141234,45266,95968,73806,28837,44969,65000,80000,60000,58000,74409,48000,69000,80000,61000,GEOGRAPHY,Social Science
5505.0,207059,103219,103840,88085,45117,42968,118974,58102,60872,75000,99000,60000,67000,87000,54000,88999,110000,74180,INTERNATIONAL RELATIONS,Social Science
5506.0,1665250,856414,808836,1012608,517556,495052,652642,338858,313784,80000,98000,65000,73000,87000,60000,85000,101000,70000,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,1208775,453316,755459,397522,146815,250707,811253,306501,504752,60000,70000,52000,55000,67000,50000,68000,80000,60000,SOCIOLOGY,Social Science
5599.0,38336,18249,20087,18394,8908,9486,19942,9341,10601,70000,77668,60000,70000,76404,54285,70462,79470,66010,MISCELLANEOUS SOCIAL SCIENCES,Social Science
5601.0,139330,14834,124496,125372,11996,113376,13958,2838,11120,84000,85000,84000,80000,74963,80000,84000,90000,84000,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701.0,28686,3658,25028,25969,3283,22686,2717,375,2342,50000,65264,50000,41727,55000,41638,50000,65470,50000,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901.0,189385,48239,141146,169266,42712,126554,20119,5527,14592,80000,100000,76000,75000,94529,69910,80000,100000,79438,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
6000.0,870265,215622,654643,313685,73714,239971,556580,141908,414672,50000,62000,49000,50000,60000,46000,55000,65000,50308,FINE ARTS,Arts
6001.0,305642,87873,217769,119835,30775,89060,185807,57098,128709,50000,60000,45598,50000,57397,45000,52250,70000,48000,DRAMA AND THEATER ARTS,Arts
6002.0,573372,254424,318948,272758,115750,157008,300614,138674,161940,51000,60000,47637,50000,58000,45000,52000,62000,49000,MUSIC,Arts
6003.0,103375,28398,74977,23150,6021,17129,80225,22377,57848,45000,56148,40000,45000,57961,40000,47311,55000,45000,VISUAL AND PERFORMING ARTS,Arts
6004.0,756172,82727,673445,262086,28211,233875,494086,54516,439570,53000,68000,51000,50000,62979,49000,60000,75000,60000,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005.0,221773,32433,189340,131647,18872,112775,90126,13561,76565,50000,62336,50000,46000,62376,42000,55000,62818,51572,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6006.0,181700,73331,108369,28012,13374,14638,153688,59957,93731,60000,68000,56519,60000,66686,56074,72216,76118,57014,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6007.0,137740,35382,102358,43317,11243,32074,94423,24139,70284,44482,54000,40000,43000,52000,39000,46144,56336,45000,STUDIO ARTS,Arts
6099.0,30722,3756,26966,16066,1400,14666,14656,2356,12300,51213,65000,50637,52000,70500,48866,50491,34486,52086,MISCELLANEOUS FINE ARTS,Arts
6100.0,267902,99995,167907,76793,33033,43760,191109,66962,124147,60000,75000,50000,56000,70000,47450,68000,85000,54000,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102.0,331706,237886,93820,19706,13709,5997,312000,224177,87823,62000,67000,42000,61000,66000,40000,76000,85000,63945,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103.0,278553,82567,195986,71012,22692,48320,207541,59875,147666,56000,72000,51898,53000,65000,50000,70000,80000,60000,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104.0,105346,24976,80370,12392,5580,6812,92954,19396,73558,63000,85040,54000,60000,85000,51851,84699,92000,75909,MEDICAL ASSISTING SERVICES,Health
6105.0,253885,62000,191885,58447,19797,38650,195438,42203,153235,68000,84000,65000,67000,77260,65000,72000,95000,65000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106.0,145083,109295,35788,83472,67837,15635,61611,41458,20153,100000,120000,45000,89494,105000,45000,114504,139065,41252,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107.0,3265934,860482,2405452,310920,89602,221318,2955014,770880,2184134,72000,94000,67000,72000,92000,66000,80000,110000,70000,NURSING,Health
6108.0,400275,217883,182392,194802,105665,89137,205473,112218,93255,115000,120000,104693,105000,110000,99990,120000,130000,110000,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109.0,510553,219459,291094,133854,62988,70866,376699,156471,220228,70000,75000,60000,65000,73000,57000,72645,85000,65000,TREATMENT THERAPY PROFESSIONS,Health
6110.0,183394,68457,114937,49222,19843,29379,134172,48614,85558,58685,68759,50000,54000,65269,45000,65986,75000,58000,COMMUNITY AND PUBLIC HEALTH,Health
6199.0,169081,76668,92413,27927,13526,14401,141154,63142,78012,55000,65000,47152,55000,60000,47466,53244,77782,40000,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
6200.0,3352444,786864,2565580,2000535,474620,1525915,1351909,312244,1039665,70000,85000,65000,60000,75000,55000,78000,96000,75000,GENERAL BUSINESS,Business
6201.0,2805339,806059,1999280,1407225,442410,964815,1398114,363649,1034465,75000,90000,70000,68160,78000,64000,84000,100000,76000,ACCOUNTING,Business
