FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
1901.0,1193330,251035,942295,483961,97328,386633,709369,153707,555662,50000,60000,50000,48000,56000,45000,57867,70000,55000,COMMUNICATIONS,Communications & Journalism
1902.0,527065,116429,410636,217066,49055,168011,309999,67374,242625,54000,68000,50000,50000,65147,45000,60000,70000,55000,JOURNALISM,Communications & Journalism
1903.0,247651,40738,206913,125285,15236,110049,122366,25502,96864,46000,51000,45000,43000,49669,40000,50000,58000,50000,MASS MEDIA,Communications & Journalism
1904.0,216217,35946,180271,73089,11578,61511,143128,24368,118760,49984,60000,47267,45000,52000,43000,58000,68735,55000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,73038,10102,62936,48430,6183,42247,24608,3919,20689,50000,50262,49175,45000,50000,42024,52000,52490,51129,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,308394,67154,241240,200431,40184,160247,107963,26970,80993,65000,75000,61000,60000,69849,56000,67396,78000,65000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,34293,6186,28107,20467,3649,16818,13826,2537,11289,60000,71952,55000,64825,79218,49069,57835,80602,55000,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,1058072,301939,756133,767750,206540,561210,290322,95399,194923,80000,90000,75000,70000,80000,64000,85000,96000,80000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,103924,25124,78800,68998,14809,54189,34926,10315,24611,70000,78135,70000,65000,73877,61986,73000,85000,70000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,46394,9826,36568,33778,6245,27533,12616,3581,9035,60000,80129,50000,48766,65000,45000,60000,95000,55189,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,60856,11965,48891,39834,7147,32687,21022,4818,16204,57000,76958,52000,43772,69545,42000,60000,78212,57000,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,46296,7732,38564,27798,3782,24016,18498,3950,14548,40000,46069,40000,28954,35486,28169,50000,76755,48000,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,2444322,1065508,1378814,611089,303367,307722,1833233,762141,1071092,49400,57000,42000,46000,55000,40000,55000,65000,50000,GENERAL EDUCATION,Education
2301.0,57149,53211,3938,28978,27014,1964,28171,26197,1974,62000,62000,63319,57435,60000,47293,69891,67641,80785,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,21952,19548,2404,5423,4930,493,16529,14618,1911,53800,56000,23392,50000,55000,22826,68000,68000,28000,SCHOOL STUDENT COUNSELING,Education
2304.0,2574354,1082066,1492288,257023,125272,131751,2317331,956794,1360537,46000,55000,40000,45000,54000,40000,50000,60000,42000,ELEMENTARY EDUCATION,Education
2305.0,152684,82313,70371,60500,36255,24245,92184,46058,46126,50000,60000,42000,48000,54000,41000,56000,64164,46000,MATHEMATICS TEACHER EDUCATION,Education
2306.0,479235,201541,277694,252980,108853,144127,226255,92688,133567,52000,63000,48000,50000,60000,43167,55000,65000,50000,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,225836,79406,146430,5921,2286,3635,219915,77120,142795,42000,50000,36500,42000,50000,36384,42995,59893,38348,EARLY CHILDHOOD EDUCATION,Education
2308.0,121449,65955,55494,55541,31663,23878,65908,34292,31616,52000,60000,45000,50000,60000,42000,58000,62000,49943,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,472857,241669,231188,224774,127044,97730,248083,114625,133458,52000,60000,45000,49180,58000,42000,55000,62000,50000,SECONDARY TEACHER EDUCATION,Education
2310.0,343422,191554,151868,43760,25201,18559,299662,166353,133309,50000,56000,42000,50000,55926,41000,57000,60000,50000,SPECIAL NEEDS EDUCATION,Education
2311.0,244623,119133,125490,130710,65707,65003,113913,53426,60487,50000,55000,46000,48000,52702,42000,52000,58679,49838,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312.0,164272,71117,93155,41105,21292,19813,123167,49825,73342,45000,55000,39000,43975,52000,36640,55000,60000,48000,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,389199,199536,189663,67717,37978,29739,321482,161558,159924,50000,56688,42000,50000,55000,41000,54000,62000,45071,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,416737,184803,231934,140297,73610,66687,276440,111193,165247,49000,59000,40500,46000,57000,40000,51000,60000,45000,ART AND MUSIC EDUCATION,Education
2399.0,403558,172074,231484,179186,75816,103370,224372,96258,128114,52000,60000,48000,50000,57000,43000,57000,64000,51000,MISCELLANEOUS EDUCATION,Education
2400.0,744157,248459,495698,639740,213306,426434,104417,35153,69264,77000,95000,70000,65000,70000,60248,80000,99000,72000,GENERAL ENGINEERING,Engineering
2401.0,123696,56447,67249,113856,52234,61622,9840,4213,5627,95000,100000,81244,80000,95258,67337,96000,100058,85000,AEROSPACE ENGINEERING,Engineering
2402.0,55297,22105,33192,44180,16379,27801,11117,5726,5391,62000,68000,58956,55015,65937,38178,62915,75000,60000,BIOLOGICAL ENGINEERING,Engineering
2403.0,23461,6404,17057,18697,4773,13924,4764,1631,3133,68729,61225,70000,52000,57046,47000,70000,63512,75000,ARCHITECTURAL ENGINEERING,Engineering
2404.0,36312,20261,16051,23645,14112,9533,12667,6149,6518,82445,99929,62000,67618,71066,62000,96000,114549,60000,BIOMEDICAL ENGINEERING,Engineering
2405.0,350921,162995,187926,272338,127629,144709,78583,35366,43217,92000,100000,85000,75000,85000,70000,98000,101000,90000,CHEMICAL ENGINEERING,Engineering
2406.0,544129,192460,351669,471658,167718,303940,72471,24742,47729,82000,95000,75474,70000,80972,65319,85000,99000,79000,CIVIL ENGINEERING,Engineering
2407.0,211179,71352,139827,168254,56084,112170,42925,15268,27657,80000,90000,78000,80000,80000,76000,81000,92273,78000,COMPUTER ENGINEERING,Engineering
2408.0,1151011,479273,671738,1023770,418786,604984,127241,60487,66754,93000,100000,85000,84000,90000,78000,94000,105000,85000,ELECTRICAL ENGINEERING,Engineering
2409.0,43315,21592,21723,38430,18902,19528,4885,2690,2195,80000,90000,65000,79433,81664,70000,80000,90000,64000,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,23382,10695,12687,14928,6971,7957,8454,3724,4730,70000,80550,63250,54000,57730,49487,80000,85000,71150,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,10314,3668,6646,9174,3501,5673,1140,167,973,75000,79310,74041,58424,37000,60166,79968,80398,80694,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,222023,83817,138206,176434,65964,110470,45589,17853,27736,80000,95000,74000,75000,80000,66000,85000,100000,75000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,38424,16297,22127,29359,11478,17881,9065,4819,4246,80000,90000,75462,74135,70133,74820,84394,99448,77411,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,911795,334169,577626,830341,300195,530146,81454,33974,47480,85000,97000,80000,75000,84416,68730,86000,100000,80000,MECHANICAL ENGINEERING,Engineering
2415.0,31152,15362,15790,27746,13879,13867,3406,1483,1923,92000,89801,93948,82769,86958,73258,92000,90335,95000,METALLURGICAL ENGINEERING,Engineering
2416.0,16137,5966,10171,15149,5469,9680,988,497,491,96809,96142,96787,70314,65658,111472,97161,100000,96700,MINING AND MINERAL ENGINEERING,Engineering
2417.0,26537,9311,17226,25140,8604,16536,1397,707,690,97308,100000,95000,92228,99945,80345,97283,102153,95393,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,20804,9896,10908,19591,9339,10252,1213,557,656,100000,110000,99180,66700,77084,38741,105000,110788,99457,NUCLEAR ENGINEERING,Engineering
2419.0,26717,7869,18848,23873,6700,17173,2844,1169,1675,125639,126140,125303,106856,120000,71826,135219,128235,140000,PETROLEUM ENGINEERING,Engineering
2499.0,78336,23694,54642,64962,19140,45822,13374,4554,8820,75000,94072,70000,64931,69798,60000,75000,98000,70000,MISCELLANEOUS ENGINEERING,Engineering
2500.0,48734,12813,35921,39627,10344,29283,9107,2469,6638,60000,72000,60000,49390,41797,50457,65000,75000,60000,ENGINEERING TECHNOLOGIES,Engineering
2501.0,68721,20656,48065,61227,17635,43592,7494,3021,4473,75000,95851,69511,73680,86700,53197,75000,99444,70000,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,124437,25436,99001,108553,20318,88235,15884,5118,10766,68000,82000,63236,75000,80173,66064,67000,85000,63910,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,103562,23084,80478,93963,20550,73413,9599,2534,7065,69000,74438,67039,50097,47437,51476,70000,79403,70000,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,38351,6927,31424,36879,6064,30815,1472,863,609,65000,67230,65000,78786,76745,77394,65000,65895,65000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,81968,17357,64611,64442,12551,51891,17526,4806,12720,65000,65000,65000,50000,50806,50000,67898,71222,67000,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
2601.0,136336,56584,79752,38616,15927,22689,97720,40657,57063,53000,70000,45000,50000,60000,44000,60000,75000,47376,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602.0,445815,214598,231217,111490,58783,52707,334325,155815,178510,55000,65000,45873,52000,62000,44423,62000,75000,53000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603.0,99878,43129,56749,40126,19796,20330,59752,23333,36419,55956,67194,43400,49000,62000,39573,65000,73453,48666,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
2901.0,539207,141714,397493,36050,8823,27227,503157,132891,370266,45000,57000,40000,44500,56000,40000,53482,65000,50000,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3201.0,10278,1358,8920,6706,1061,5645,3572,297,3275,55000,70714,53450,40469,73518,36821,55804,64796,55000,COURT REPORTING,Law & Public Policy
3202.0,96895,33376,63519,34087,16513,17574,62808,16863,45945,48000,67781,44000,45270,52879,45000,56847,85000,38874,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
3301.0,1964609,875560,1089049,665245,307735,357510,1299364,567825,731539,54000,63000,47804,50000,60000,44000,60000,71000,52000,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302.0,82216,22489,59727,33442,9397,24045,48774,13092,35682,43103,58980,39222,42000,55000,39000,49512,73981,40000,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401.0,792321,208565,583756,318725,93457,225268,473596,115108,358488,50000,64000,48000,47555,58000,43000,60000,78000,52000,LIBERAL ARTS,Humanities & Liberal Arts
3402.0,70959,31102,39857,31393,16257,15136,39566,14845,24721,53709,62000,45538,49000,55217,40000,63000,72000,50603,HUMANITIES,Humanities & Liberal Arts
3501.0,43741,27238,16503,5850,4232,1618,37891,23006,14885,51424,56386,44301,51000,57632,43754,51900,51549,70000,LIBRARY SCIENCE,Education
3600.0,1877138,1073205,803933,968720,610069,358651,908418,463136,445282,68000,86000,50000,58000,70000,47934,80000,100000,58000,BIOLOGY,Biology & Life Science
3601.0,195046,122256,72790,110406,75774,34632,84640,46482,38158,72000,90000,47867,60000,68148,45000,85000,100000,50000,BIOCHEMICAL SCIENCES,Biology & Life Science
3602.0,35224,19037,16187,17026,9407,7619,18198,9630,8568,50332,63426,40000,49846,54781,36966,54526,82000,40532,BOTANY,Biology & Life Science
3603.0,65788,34811,30977,30345,16511,13834,35443,18300,17143,56000,68000,45000,51000,59182,42772,65000,90000,49879,MOLECULAR BIOLOGY,Biology & Life Science
3604.0,66858,20710,46148,32164,9956,22208,34694,10754,23940,50000,60000,44000,42000,59000,39000,53517,63692,49991,ECOLOGY,Biology & Life Science
3605.0,16111,10386,5725,8448,6288,2160,7663,4098,3565,70000,72242,70000,62879,77176,45000,71547,69700,76034,GENETICS,Biology & Life Science
3606.0,148762,81567,67195,70041,42702,27339,78721,38865,39856,70000,80000,60000,60000,70000,55000,80000,93000,60000,MICROBIOLOGY,Biology & Life Science
3607.0,14685,9740,4945,6314,4379,1935,8371,5361,3010,87246,95230,60000,68877,80419,53075,95145,100000,89418,PHARMACOLOGY,Biology & Life Science
3608.0,99581,56229,43352,50541,31493,19048,49040,24736,24304,60000,78426,45000,55000,60000,48000,66482,90000,44269,PHYSIOLOGY,Biology & Life Science
3609.0,160336,106506,53830,101821,73475,28346,58515,33031,25484,80000,96000,51027,61000,77110,44300,90000,110000,60000,ZOOLOGY,Biology & Life Science
3611.0,24701,13350,11351,10507,6160,4347,14194,7190,7004,50000,51956,46968,50000,47909,49690,56000,64211,41733,NEUROSCIENCE,Biology & Life Science
3699.0,53802,23986,29816,30696,13249,17447,23106,10737,12369,57000,71782,50000,50000,63000,42000,60000,81285,54821,MISCELLANEOUS BIOLOGY,Biology & Life Science
3700.0,849760,407655,442105,502492,253377,249115,347268,154278,192990,74000,83000,65000,65000,70755,56000,80000,90000,68000,MATHEMATICS,Computers & Mathematics
3701.0,36076,17307,18769,23753,11573,12180,12323,5734,6589,79000,90000,65000,67000,71254,63615,86208,95953,67816,APPLIED MATHEMATICS,Computers & Mathematics
3702.0,44812,21398,23414,24088,11444,12644,20724,9954,10770,77176,81738,70000,60000,70000,56150,84000,95000,75000,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
3801.0,6734,2545,4189,6401,2366,4035,333,179,154,74780,192485,76577,41818,26400,92000,78291,353419,74518,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
4000.0,57392,14349,43043,16314,4609,11705,41078,9740,31338,45000,55000,40953,42000,50000,39732,60000,63000,55000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
4001.0,85840,30540,55300,31002,11881,19121,54838,18659,36179,52000,69445,47000,50000,68778,45000,62082,70076,55773,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4002.0,98553,37421,61132,8935,3586,5349,89618,33835,55783,55000,60000,50000,55000,60000,50732,59346,78059,45549,NUTRITION SCIENCES,Health
4005.0,10868,4059,6809,6901,2402,4499,3967,1657,2310,88772,81222,89613,77642,81128,61728,95645,85030,99382,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
4006.0,11321,6269,5052,5309,2854,2455,6012,3415,2597,71102,103076,42000,56351,69617,38561,90000,120000,56986,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
4007.0,93476,27695,65781,32822,10325,22497,60654,17370,43284,45000,58000,40000,40000,50000,38000,54564,70000,50000,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
4101.0,448741,114227,334514,233409,55243,178166,215332,58984,156348,49000,60000,45000,45000,56000,41000,50000,65000,48000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
4801.0,466177,249433,216744,322562,184021,138541,143615,65412,78203,50000,60000,40000,48000,58278,36000,52000,62000,41000,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901.0,388642,158612,230030,277297,124989,152308,111345,33623,77722,40000,48000,37000,38721,50000,33360,41064,48000,39826,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5000.0,17163,8711,8452,12840,7085,5755,4323,1626,2697,60000,61084,58200,50000,62750,48533,60160,60560,60130,PHYSICAL SCIENCES,Physical Sciences
5001.0,10220,6097,4123,7679,4752,2927,2541,1345,1196,90000,93685,72060,61712,65000,60424,94870,95741,80418,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002.0,24652,11439,13213,20546,9227,11319,4106,2212,1894,67000,72203,65000,53172,62932,38578,70000,74025,65975,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003.0,787108,480181,306927,510691,334694,175997,276417,145487,130930,80000,95000,58398,62000,75000,50000,90000,101000,65000,CHEMISTRY,Physical Sciences
5004.0,194414,86884,107530,143150,61256,81894,51264,25628,25636,70000,82123,60000,56327,60000,50000,75000,95000,63000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,18779,9294,9485,12933,6367,6566,5846,2927,2919,65000,79440,55000,51959,61881,41626,70000,90963,56006,GEOSCIENCES,Physical Sciences
5006.0,19714,6630,13084,13567,5049,8518,6147,1581,4566,62426,92352,50000,45000,38371,45165,80000,101813,60604,OCEANOGRAPHY,Physical Sciences
5007.0,351329,231140,120189,290918,193464,97454,60411,37676,22735,85000,92000,65000,63000,80000,40000,90000,98000,74000,PHYSICS,Physical Sciences
5008.0,21481,13943,7538,16765,10332,6433,4716,3611,1105,80000,89996,75390,74275,73746,104845,83000,90000,74384,MATERIALS SCIENCE,Engineering
5098.0,628935,210064,418871,339320,126168,213152,289615,83896,205719,60000,79000,54000,50000,61000,46071,70000,93110,60486,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,17658,4468,13190,9022,2576,6446,8636,1892,6744,62727,64480,62278,48605,49767,50000,68706,73142,67122,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,2614815,1168901,1445914,818342,395590,422752,1796473,773311,1023162,50000,60000,42956,47000,56000,40000,61000,74000,52000,PSYCHOLOGY,Psychology & Social Work
5201.0,39335,27831,11504,10024,7702,2322,29311,20129,9182,52000,57000,37449,56575,60000,36649,50000,50000,39964,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,31214,24836,6378,11499,9064,2435,19715,15772,3943,59464,63269,40570,50000,50000,39550,70000,75000,42292,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,66751,48234,18517,18358,13249,5109,48393,34985,13408,40000,44500,34000,42000,46186,32000,37000,38000,34000,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,32416,14025,18391,13250,5867,7383,19166,8158,11008,62000,75000,57858,59252,59772,57864,64935,80575,58658,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,15738,5430,10308,5701,2408,3293,10037,3022,7015,55000,81315,48024,52124,79139,47000,58172,109074,55118,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,61678,28079,33599,15585,9035,6550,46093,19044,27049,50647,60000,43000,45898,56000,40000,62000,85000,51112,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,896835,177208,719627,538668,103132,435536,358167,74076,284091,50000,63000,50000,43000,51000,40000,60000,75000,56000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,95839,43725,52114,53945,25022,28923,41894,18703,23191,64000,70000,54336,55000,69283,47000,71168,75000,70000,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,28729,15546,13183,12198,6295,5903,16531,9251,7280,76000,86000,63156,73908,85000,55000,84815,109317,68881,PUBLIC POLICY,Law & Public Policy
5403.0,110574,31333,79241,22732,8106,14626,87842,23227,64615,40000,50000,38000,39000,48167,36066,50000,65000,45000,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,563757,244589,319168,80598,37674,42924,483159,206915,276244,45000,52000,40000,44000,52000,38386,50000,56000,45000,SOCIAL WORK,Psychology & Social Work
5500.0,194829,68581,126248,88190,32903,55287,106639,35678,70961,55000,64933,50000,50000,56000,45000,65000,71178,60000,GENERAL SOCIAL SCIENCES,Social Science
5501.0,1245523,513669,731854,866764,362846,503918,378759,150823,227936,78000,100000,64000,65000,85000,53634,83000,101038,70000,ECONOMICS,Social Science
5502.0,250307,105642,144665,91027,35674,55353,159280,69968,89312,50000,61202,40000,46067,56000,38935,55000,75000,43343,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,82582,15273,67309,49645,7762,41883,32937,7511,25426,50000,59686,48000,45000,50861,43771,54000,89198,50000,CRIMINOLOGY,Social Science
5504.0,163290,52118,111172,109701,35042,74659,53589,17076,36513,59000,69392,53295,46846,60000,44000,62000,74445,60000,GEOGRAPHY,Social Science
5505.0,148502,70488,78014,69837,34080,35757,78665,36408,42257,71000,90000,55000,60000,72339,50000,86000,107393,64121,INTERNATIONAL RELATIONS,Social Science
5506.0,1438612,701742,736870,887474,442122,445352,551138,259620,291518,68000,82000,55000,59000,73000,47000,75000,90000,60000,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,1039850,364667,675183,357871,128139,229732,681979,236528,445451,50000,60000,46000,48000,58000,42000,60000,70000,52000,SOCIOLOGY,Social Science
5599.0,28510,13855,14655,13921,6366,7555,14589,7489,7100,57000,63000,51616,53245,55000,39595,70000,78259,59000,MISCELLANEOUS SOCIAL SCIENCES,Social Science
5601.0,87257,7907,79350,79474,6159,73315,7783,1748,6035,65000,74573,65000,61937,61000,62445,65000,88920,65000,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701.0,18837,3065,15772,16878,2622,14256,1959,443,1516,45000,92352,43133,26290,43651,20205,50000,100000,45000,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901.0,153613,27728,125885,139174,23723,115451,14439,4005,10434,70000,89000,65000,65000,70258,63144,70000,90000,66000,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
6000.0,730076,181141,548935,275899,65720,210179,454177,115421,338756,46000,55000,42100,43500,52000,40000,50000,60000,46929,FINE ARTS,Arts
6001.0,240458,66209,174249,94498,27465,67033,145960,38744,107216,43603,54987,39000,42000,51661,36584,46941,57000,40000,DRAMA AND THEATER ARTS,Arts
6002.0,481999,210701,271298,224507,98955,125552,257492,111746,145746,49000,55000,44509,45000,52000,39000,51804,58000,48000,MUSIC,Arts
6003.0,70769,18679,52090,16369,4272,12097,54400,14407,39993,40000,48750,37688,40000,48006,35000,46148,57402,45000,VISUAL AND PERFORMING ARTS,Arts
6004.0,516914,52695,464219,180984,21704,159280,335930,30991,304939,45000,60000,43000,40000,55000,40000,52000,60000,50000,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005.0,143933,22134,121799,88739,11734,77005,55194,10400,44794,44021,50867,43000,40000,44000,38000,50000,65000,50000,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6006.0,138535,53169,85366,24852,10611,14241,113683,42558,71125,50000,60708,44733,49000,60000,42000,60000,69074,53692,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6007.0,102156,27020,75136,36095,10413,25682,66061,16607,49454,40390,50000,37528,40000,47000,36000,45000,52000,40000,STUDIO ARTS,Arts
6099.0,7475,1513,5962,3180,379,2801,4295,1134,3161,44453,63744,41774,43043,61943,39832,48298,84000,45347,MISCELLANEOUS FINE ARTS,Arts
6100.0,162719,65132,97587,49168,22100,27068,113551,43032,70519,59586,70000,50000,58000,65000,49258,62000,75000,55889,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102.0,258219,180147,78072,18429,14559,3870,239790,165588,74202,57000,61000,41000,56000,60000,40000,71208,75000,45993,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103.0,143196,41080,102116,41796,15539,26257,101400,25541,75859,56000,71432,53000,54000,65000,50000,72000,90000,65000,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104.0,79104,16725,62379,8286,3357,4929,70818,13368,57450,54000,75000,50000,53551,65000,50000,64000,102656,48255,MEDICAL ASSISTING SERVICES,Health
6105.0,208976,46094,162882,47794,13321,34473,161182,32773,128409,60000,77409,58000,60000,75000,57000,65000,80000,60000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106.0,143098,114986,28112,95783,82799,12984,47315,32187,15128,100000,118000,55250,68042,86103,54739,120000,140000,57441,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107.0,2204611,542071,1662540,169415,50899,118516,2035196,491172,1544024,65000,80000,61000,65000,80000,60000,75000,96000,66000,NURSING,Health
6108.0,336167,145228,190939,172299,75168,97131,163868,70060,93808,105000,106769,104000,100000,100000,100000,112000,120000,110000,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109.0,388713,138646,250067,93440,42788,50652,295273,95858,199415,64000,67000,61117,60000,61000,60000,75000,78000,70000,TREATMENT THERAPY PROFESSIONS,Health
6110.0,80780,31697,49083,23708,10443,13265,57072,21254,35818,50000,59093,47000,47000,53587,40000,70000,81852,69047,COMMUNITY AND PUBLIC HEALTH,Health
6199.0,120749,48473,72276,23930,10652,13278,96819,37821,58998,50000,60992,45000,50000,58000,45000,55934,80000,50000,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
6200.0,2603628,563000,2040628,1613828,366213,1247615,989800,196787,793013,60000,80000,57000,50000,68000,50000,70000,90000,62000,GENERAL BUSINESS,Business
6201.0,2310883,555275,1755608,1218409,332892,885517,1092474,222383,870091,65000,82000,60000,56000,69000,55000,78000,96000,70000,ACCOUNTING,Business
