FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
2312.0,167289,76258,91031,40501,21412,19089,126788,54846,71942,46000,53051,40000,45000,52000,38799,50000,58000,43477,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,381255,200091,181164,66194,40196,25998,315061,159895,155166,50000,56000,41100,50000,56000,40855,52000,60000,45000,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,414635,179710,234925,146687,75872,70815,267948,103838,164110,48500,56000,42000,45000,55000,40000,51000,60000,45688,ART AND MUSIC EDUCATION,Education
2399.0,381837,166732,215105,167958,73966,93992,213879,92766,121113,52000,60000,49000,49000,54184,44000,60000,67000,53000,MISCELLANEOUS EDUCATION,Education
2400.0,807474,290991,516483,685633,250084,435549,121841,40907,80934,81000,100000,75000,68000,80000,60000,85000,100000,79000,GENERAL ENGINEERING,Engineering
2401.0,128049,62265,65784,115826,56932,58894,12223,5333,6890,100000,110000,83000,89412,91000,80000,100000,115000,85000,AEROSPACE ENGINEERING,Engineering
2402.0,57766,24621,33145,44293,17952,26341,13473,6669,6804,70969,80000,62209,70981,80000,55512,70727,80000,70000,BIOLOGICAL ENGINEERING,Engineering
2403.0,28090,6937,21153,22747,5339,17408,5343,1598,3745,83263,82263,84425,60000,82071,45482,88034,84000,89805,ARCHITECTURAL ENGINEERING,Engineering
2404.0,42805,24584,18221,27593,15930,11663,15212,8654,6558,77344,86000,70000,69722,81192,60000,83277,90472,74126,BIOMEDICAL ENGINEERING,Engineering
2405.0,360785,173386,187399,275456,135723,139733,85329,37663,47666,98000,105591,87791,82000,90000,75000,100000,110000,92000,CHEMICAL ENGINEERING,Engineering
2406.0,565117,203352,361765,485837,174916,310921,79280,28436,50844,85000,100000,76187,75000,85000,70000,87000,100000,80000,CIVIL ENGINEERING,Engineering
2407.0,263609,98020,165589,213601,79843,133758,50008,18177,31831,88000,96000,80000,78306,89469,70000,90000,100000,83000,COMPUTER ENGINEERING,Engineering
2408.0,1181113,493851,687262,1048958,433217,615741,132155,60634,71521,98000,107000,87000,85000,97602,77941,100000,110000,89000,ELECTRICAL ENGINEERING,Engineering
2409.0,43104,23169,19935,37161,19710,17451,5943,3459,2484,90000,100289,67582,82053,79842,95092,91131,106000,66722,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,24723,12044,12679,15706,8001,7705,9017,4043,4974,79093,84890,71914,64127,68224,55839,90502,101632,84142,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,10190,3998,6192,7740,2396,5344,2450,1602,848,95703,110000,81212,109190,111991,91658,88504,106600,76025,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,227156,91015,136141,178778,70113,108665,48378,20902,27476,84000,100000,72000,78966,87908,69000,85000,100000,75000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,39451,17462,21989,31119,12935,18184,8332,4527,3805,80563,89400,80000,53000,50000,60000,90000,100000,81096,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,954476,363354,591122,872043,329792,542251,82433,33562,48871,90000,101000,81000,80000,88096,77170,90000,104000,82000,MECHANICAL ENGINEERING,Engineering
2415.0,23493,13570,9923,20958,12025,8933,2535,1545,990,106497,108355,100000,104105,100000,120918,106863,109210,100000,METALLURGICAL ENGINEERING,Engineering
2416.0,17293,5972,11321,16334,5718,10616,959,254,705,100000,116772,79008,59446,61000,56371,100000,126437,79333,MINING AND MINERAL ENGINEERING,Engineering
2417.0,27855,11390,16465,26684,10621,16063,1171,769,402,96225,100000,90340,106000,93900,106000,96000,100000,90000,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,22300,10812,11488,20287,9671,10616,2013,1141,872,103000,108036,100000,81993,84111,81460,106512,110000,100000,NUCLEAR ENGINEERING,Engineering
2419.0,29736,7711,22025,25317,6944,18373,4419,767,3652,125000,125000,128000,135459,114705,182979,125000,124770,125660,PETROLEUM ENGINEERING,Engineering
2499.0,92188,30174,62014,73841,23238,50603,18347,6936,11411,72000,84775,66000,70000,75000,66000,72000,86864,66772,MISCELLANEOUS ENGINEERING,Engineering
2500.0,48002,10106,37896,38280,6922,31358,9722,3184,6538,66000,68454,66000,51090,51850,47610,70000,74857,70000,ENGINEERING TECHNOLOGIES,Engineering
2501.0,66864,19898,46966,59071,17504,41567,7793,2394,5399,84743,111115,72000,65042,99694,53000,86090,115300,75000,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,118682,31296,87386,100745,23909,76836,17937,7387,10550,72000,90000,70000,66000,69803,57164,72000,100000,70000,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,101698,19825,81873,91119,17166,73953,10579,2659,7920,70000,80031,69000,58567,100000,51446,72000,80000,70000,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,37116,6917,30199,34394,6055,28339,2722,862,1860,59619,81800,57000,65647,91510,59603,58752,80000,56000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,79160,15004,64156,66324,12698,53626,12836,2306,10530,65210,85000,63000,58549,66676,58000,68000,85069,63000,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
2601.0,133377,56439,76938,34695,15015,19680,98682,41424,57258,50100,60000,41912,50000,60000,40000,54052,60000,49536,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602.0,465847,221141,244706,115478,57941,57537,350369,163200,187169,57000,65460,49000,54000,63827,47000,62000,75000,54000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603.0,112562,54207,58355,46915,24798,22117,65647,29409,36238,56000,65000,45907,50000,64000,42000,60661,69291,58972,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
2901.0,553915,154896,399019,46190,15619,30571,507725,139277,368448,45000,55000,40000,43000,54000,40000,60749,75000,55000,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3201.0,10571,1440,9131,7264,913,6351,3307,527,2780,62318,120000,60000,30000,-1,30000,74104,120000,62712,COURT REPORTING,Law & Public Policy
3202.0,105781,32635,73146,41152,17932,23220,64629,14703,49926,56000,75000,49909,50000,68579,46000,70000,85123,60000,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
3301.0,2021342,916190,1105152,676557,321956,354601,1344785,594234,750551,55000,64000,48000,50000,59230,45000,63000,75000,52911,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302.0,75755,18685,57070,28187,5593,22594,47568,13092,34476,41572,54090,39092,40000,50414,34851,47952,58808,44321,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401.0,846523,228265,618258,339573,88303,251270,506950,139962,366988,54000,70000,50000,50000,62000,43000,62000,85000,60000,LIBERAL ARTS,Humanities & Liberal Arts
3402.0,78151,25895,52256,26811,11158,15653,51340,14737,36603,47000,57739,40330,40452,52759,38000,55059,68641,51321,HUMANITIES,Humanities & Liberal Arts
3501.0,46354,30404,15950,6227,5141,1086,40127,25263,14864,48972,50000,41660,50000,50000,40759,45220,43828,52225,LIBRARY SCIENCE,Education
3600.0,2002007,1127957,874050,1024913,629011,395902,977094,498946,478148,70000,90000,50000,60000,75000,45000,81000,100000,58262,BIOLOGY,Biology & Life Science
3601.0,216176,137209,78967,123678,79809,43869,92498,57400,35098,70000,89346,51211,60000,72000,45000,83000,102461,55000,BIOCHEMICAL SCIENCES,Biology & Life Science
3602.0,30436,18017,12419,14270,9045,5225,16166,8972,7194,70000,81276,60031,62116,73191,47733,79321,90740,63851,BOTANY,Biology & Life Science
3603.0,70399,43324,27075,33843,21839,12004,36556,21485,15071,70000,90000,41693,63000,82253,42065,80000,96887,41446,MOLECULAR BIOLOGY,Biology & Life Science
3604.0,70639,23175,47464,32302,9742,22560,38337,13433,24904,52037,62000,50000,49900,51223,43025,60000,70000,52317,ECOLOGY,Biology & Life Science
3605.0,20564,12976,7588,9708,6747,2961,10856,6229,4627,69153,86826,38016,59719,73000,36000,100000,105573,43200,GENETICS,Biology & Life Science
3606.0,157058,83731,73327,73666,45756,27910,83392,37975,45417,68000,80000,53515,60000,75000,50000,80000,84186,60000,MICROBIOLOGY,Biology & Life Science
3607.0,13686,7973,5713,5878,4399,1479,7808,3574,4234,100245,109642,59891,99142,98331,76175,109191,117091,48586,PHARMACOLOGY,Biology & Life Science
3608.0,108848,63651,45197,50619,32492,18127,58229,31159,27070,62000,75000,50000,60000,65116,50000,68000,89882,58723,PHYSIOLOGY,Biology & Life Science
3609.0,164368,107846,56522,102691,73345,29346,61677,34501,27176,77000,100000,52237,60000,80000,40848,89459,110987,65000,ZOOLOGY,Biology & Life Science
3611.0,33065,17233,15832,12244,7225,5019,20821,10008,10813,50000,60000,33166,50000,60000,35000,53682,58510,31688,NEUROSCIENCE,Biology & Life Science
3699.0,63451,33442,30009,37745,20308,17437,25706,13134,12572,56000,62000,50000,49000,58709,45320,60000,64425,55000,MISCELLANEOUS BIOLOGY,Biology & Life Science
3700.0,875236,438078,437158,519022,265847,253175,356214,172231,183983,75000,85000,65000,64214,72000,55000,82000,90000,70000,MATHEMATICS,Computers & Mathematics
3701.0,40071,18408,21663,24195,11822,12373,15876,6586,9290,87103,100000,75198,76000,84175,71683,96000,107037,78791,APPLIED MATHEMATICS,Computers & Mathematics
3702.0,50926,25300,25626,28287,14032,14255,22639,11268,11371,77107,90000,70000,72408,91079,64067,80000,88090,71739,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
3801.0,7666,3408,4258,7274,3256,4018,392,152,240,51203,59611,42309,65000,-1,65000,49522,59611,41751,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
4000.0,66393,16991,49402,21026,5304,15722,45367,11687,33680,45470,53000,44000,45000,55093,42000,48000,50496,48000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
4001.0,97363,39098,58265,32681,13625,19056,64682,25473,39209,50000,67000,44712,48000,55880,40000,60000,81421,45627,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4002.0,113969,45461,68508,14082,6799,7283,99887,38662,61225,52000,60000,47000,52000,55000,48326,50000,65818,40000,NUTRITION SCIENCES,Health
4005.0,12292,6188,6104,7760,3827,3933,4532,2361,2171,96000,124954,92000,76120,51463,83934,102696,130000,92000,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
4006.0,14142,6178,7964,6884,2057,4827,7258,4121,3137,64775,69052,49238,63200,68757,37410,80000,91050,78595,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
4007.0,95910,31715,64195,30883,13794,17089,65027,17921,47106,50000,65000,45000,45807,57635,42000,64261,73530,52545,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
4101.0,503066,126088,376978,260352,61817,198535,242714,64271,178443,46528,60000,42000,44000,59000,40000,49022,60000,45000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
4801.0,449797,252395,197402,304937,177104,127833,144860,75291,69569,54000,61000,45000,50000,60362,39677,55799,61000,50000,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901.0,408191,175477,232714,292539,138388,154151,115652,37089,78563,41600,45000,40000,35000,42369,32000,44000,45000,42000,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5000.0,15319,6935,8384,11935,4811,7124,3384,2124,1260,75563,94553,60000,70133,92410,59602,79533,96071,55830,PHYSICAL SCIENCES,Physical Sciences
5001.0,11904,6797,5107,9140,5422,3718,2764,1375,1389,98351,100000,91716,80818,81136,73396,100825,100161,97701,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002.0,29338,12779,16559,22422,9622,12800,6916,3157,3759,67000,84766,57025,50619,67730,39643,71598,101854,59573,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003.0,765242,455002,310240,493558,312709,180849,271684,142293,129391,80000,100000,56000,65000,80000,50000,90000,105000,60000,CHEMISTRY,Physical Sciences
5004.0,204633,94558,110075,146971,67750,79221,57662,26808,30854,72000,81000,65000,62000,67670,54846,77000,90000,70000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,16771,10240,6531,11495,6870,4625,5276,3370,1906,73238,99741,55639,57953,58326,21916,85000,100000,59028,GEOSCIENCES,Physical Sciences
5006.0,17323,7166,10157,11527,5022,6505,5796,2144,3652,77330,90525,60000,50000,50514,50000,99152,100000,87000,OCEANOGRAPHY,Physical Sciences
5007.0,347360,220581,126779,284985,182281,102704,62375,38300,24075,92000,100000,70000,71000,83923,50000,95760,100000,72000,PHYSICS,Physical Sciences
5008.0,20187,12779,7408,14527,8989,5538,5660,3790,1870,84697,96815,74278,80000,80000,69654,100000,105405,74403,MATERIALS SCIENCE,Engineering
5098.0,658446,234820,423626,341941,133906,208035,316505,100914,215591,62000,76000,57000,55000,67000,50000,70000,90000,64000,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,14880,3689,11191,7764,2318,5446,7116,1371,5745,66029,125123,60000,63358,104536,60000,67003,120545,60000,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,2751285,1226183,1525102,854129,399804,454325,1897156,826379,1070777,51000,60000,45000,48600,57000,40000,63000,75000,52000,PSYCHOLOGY,Psychology & Social Work
5201.0,43572,28764,14808,12452,9108,3344,31120,19656,11464,59000,62330,40000,56075,59000,41140,70863,76048,40149,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,30094,21878,8216,10280,7651,2629,19814,14227,5587,59757,65000,32000,50000,62948,32000,71590,80482,28000,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,72162,52250,19912,19077,13396,5681,53085,38854,14231,45000,50000,35894,45000,47478,32000,50308,56000,42250,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,30105,13262,16843,12590,6013,6577,17515,7249,10266,70000,85095,70000,55945,57335,50000,90000,92871,75000,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,21349,8059,13290,8756,3392,5364,12593,4667,7926,50000,66408,39991,43913,54323,38420,72917,75066,68329,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,69134,34794,34340,21516,13065,8451,47618,21729,25889,60000,75000,43091,50000,66804,40000,80000,92502,53736,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,1017247,207112,810135,603849,113469,490380,413398,93643,319755,52000,65000,50000,43000,50000,40000,60000,80000,55000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,101526,43200,58326,55274,22885,32389,46252,20315,25937,61732,70000,58937,53000,60000,45571,72000,86210,63000,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,33038,16979,16059,15474,8372,7102,17564,8607,8957,69670,90688,60000,65000,72653,55000,80000,107800,62008,PUBLIC POLICY,Law & Public Policy
5403.0,122066,31438,90628,24667,7055,17612,97399,24383,73016,41000,50000,39000,40000,50000,36000,55037,53476,55310,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,598027,276111,321916,84633,42472,42161,513394,233639,279755,45000,51000,40000,43000,50000,38000,52000,64675,45000,SOCIAL WORK,Psychology & Social Work
5500.0,204717,73706,131011,93200,37782,55418,111517,35924,75593,55000,70000,48000,49484,67662,45000,62000,79000,55000,GENERAL SOCIAL SCIENCES,Social Science
5501.0,1308055,545017,763038,910135,384991,525144,397920,160026,237894,79000,100000,65000,60000,78000,52000,85000,101000,72000,ECONOMICS,Social Science
5502.0,259998,108490,151508,95993,42775,53218,164005,65715,98290,52000,63000,43000,50000,60000,40586,58000,72000,47394,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,98475,21658,76817,58049,11349,46700,40426,10309,30117,50000,69891,48000,44000,65000,41000,60000,72000,55000,CRIMINOLOGY,Social Science
5504.0,178609,56038,122571,121775,36809,84966,56834,19229,37605,58000,70000,52000,53000,65000,48000,60000,77137,55000,GEOGRAPHY,Social Science
5505.0,152758,72011,80747,64670,31323,33347,88088,40688,47400,66000,80000,54000,58000,75000,48000,75000,100000,60000,INTERNATIONAL RELATIONS,Social Science
5506.0,1469365,706822,762543,901677,440935,460742,567688,265887,301801,70000,85000,55000,60000,73000,50000,75000,95000,60000,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,1069132,380769,688363,363149,132675,230474,705983,248094,457889,50000,60000,47000,48000,55000,42000,62000,72000,57000,SOCIOLOGY,Social Science
5599.0,31625,14828,16797,15747,7067,8680,15878,7761,8117,60000,76829,52000,53450,67868,48251,75000,100000,57287,MISCELLANEOUS SOCIAL SCIENCES,Social Science
5601.0,113062,11930,101132,101209,10225,90984,11853,1705,10148,63000,73280,62613,50000,70734,50000,65000,73495,64399,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701.0,20354,3493,16861,18093,2635,15458,2261,858,1403,46234,58038,45000,54819,54201,33904,45474,64181,45000,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901.0,154788,29328,125460,140505,26379,114126,14283,2949,11334,70000,86352,66000,50245,78525,36524,73000,87222,68855,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
6000.0,799924,192085,607839,294561,75724,218837,505363,116361,389002,45000,56000,40000,40000,53000,38000,50000,60000,45000,FINE ARTS,Arts
6001.0,243937,67648,176289,96673,28695,67978,147264,38953,108311,45000,56000,38447,38000,55000,35000,52000,57000,50000,DRAMA AND THEATER ARTS,Arts
6002.0,487526,207241,280285,222304,96463,125841,265222,110778,154444,50000,58000,45000,47000,55000,41000,54000,63000,48790,MUSIC,Arts
6003.0,75297,18407,56890,19695,4295,15400,55602,14112,41490,38756,48018,35000,39829,50000,31792,39036,37488,38915,VISUAL AND PERFORMING ARTS,Arts
6004.0,617442,60487,556955,215267,21823,193444,402175,38664,363511,46000,55000,45000,44000,50123,43000,50000,60000,50000,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005.0,172412,29329,143083,103086,15124,87962,69326,14205,55121,43000,51419,40000,40000,45000,34719,45920,75000,43128,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6006.0,150275,57841,92434,26219,11577,14642,124056,46264,77792,52000,64000,45000,50000,60720,45000,60000,70000,50765,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6007.0,118651,29646,89005,43064,12536,30528,75587,17110,58477,41461,50000,38000,38000,48855,34000,50000,55000,50000,STUDIO ARTS,Arts
6099.0,11739,2537,9202,5797,813,4984,5942,1724,4218,50923,55000,46351,47198,59678,44232,53028,54896,50367,MISCELLANEOUS FINE ARTS,Arts
6100.0,174638,66229,108409,50466,22186,28280,124172,44043,80129,60000,70000,48456,54053,65000,45000,70000,85000,60000,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102.0,262603,187963,74640,15659,9693,5966,246944,178270,68674,60000,62000,45000,59000,60000,42000,74029,80096,55000,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103.0,167118,50705,116413,41769,16900,24869,125349,33805,91544,58000,79000,50000,51000,70000,48000,75000,100000,58000,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104.0,85929,20372,65557,8712,3526,5186,77217,16846,60371,60000,81602,56000,58000,75000,54302,85000,104344,81743,MEDICAL ASSISTING SERVICES,Health
6105.0,222954,48984,173970,54864,15966,38898,168090,33018,135072,61000,75000,60000,60000,70000,58000,67000,85000,60000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106.0,146919,113526,33393,93942,78376,15566,52977,35150,17827,96000,120000,50000,80000,91573,46064,130157,150000,57547,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107.0,2472552,609902,1862650,196174,56453,139721,2276378,553449,1722929,68000,85000,62000,67000,82000,61000,76000,100000,70000,NURSING,Health
6108.0,328313,158060,170253,175214,85222,89992,153099,72838,80261,110000,115000,106204,102000,100644,103000,120000,123000,110000,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109.0,417850,153582,264268,106406,45602,60804,311444,107980,203464,65000,67000,60000,60000,63299,57423,73000,80000,69217,TREATMENT THERAPY PROFESSIONS,Health
6110.0,105771,39202,66569,33889,12591,21298,71882,26611,45271,56000,73000,49108,51000,70000,45484,63015,80000,58092,COMMUNITY AND PUBLIC HEALTH,Health
6199.0,136790,52317,84473,24004,12255,11749,112786,40062,72724,48000,53000,42000,46000,50000,41208,57576,72000,48099,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
6200.0,2884609,645685,2238924,1759010,397865,1361145,1125599,247820,877779,62000,80000,60000,50000,64846,50000,70000,90000,65000,GENERAL BUSINESS,Business
6201.0,2423652,612895,1810757,1270138,359569,910569,1153514,253326,900188,66000,80000,61000,60000,70000,55000,75000,93000,70000,ACCOUNTING,Business
